City,Temperature,Wind,Local Time
Canberra Australia,46 °F,3 mph,Tue 11:12 pm
Cape Town South Africa,79 °F,18 mph,Tue 3:13 pm
Caracas Venezuela,88 °F,5 mph,Tue 9:13 am
Casablanca Morocco,84 °F,6 mph,Tue 1:13 pm
Chicago USA,57 °F,9 mph,Tue 8:13 am
Copenhagen Denmark,64 °F,8 mph,Tue 3:13 pm
Dallas USA,76 °F,6 mph,Tue 8:13 am
Dar es Salaam Tanzania,84 °F,14 mph,Tue 4:13 pm
Darwin Australia,81 °F,5 mph,Tue 10:43 pm
Denver USA,54 °F,5 mph,Tue 7:13 am
Detroit USA,51 °F,13 mph,Tue 9:13 am
Dhaka Bangladesh,87 °F,0 mph,Tue 7:13 pm
Doha Qatar,99 °F,9 mph,Tue 4:13 pm
Dubai United Arab Emirates,97 °F,13 mph,Tue 5:13 pm
Dublin Ireland,64 °F,7 mph,Tue 2:13 pm
Edmonton Canada,48 °F,6 mph,Tue 7:13 am
Frankfurt Germany,68 °F,10 mph,Tue 3:13 pm
Guatemala City Guatemala,66 °F,7 mph,Tue 7:13 am
Halifax Canada,48 °F,7 mph,Tue 10:13 am
Hanoi Vietnam,86 °F,5 mph,Tue 8:13 pm
Harare Zimbabwe,76 °F,7 mph,Tue 3:13 pm
Havana Cuba,77 °F,2 mph,Tue 9:13 am
Helsinki Finland,57 °F,12 mph,Tue 4:13 pm
Hong Kong Hong Kong,86 °F,10 mph,Tue 9:13 pm
Honolulu USA,79 °F,5 mph,Tue 3:13 am
Houston USA,78 °F,6 mph,Tue 8:13 am
Indianapolis USA,57 °F,22 mph,Tue 9:13 am
Islamabad Pakistan,91 °F,22 mph,Tue 6:13 pm
Istanbul Turkey,68 °F,15 mph,Tue 4:13 pm
Jakarta Indonesia,84 °F,7 mph,Tue 8:13 pm
Jerusalem Israel,80 °F,2 mph,Tue 4:13 pm
Johannesburg South Africa,79 °F,12 mph,Tue 3:13 pm
Kabul Afghanistan,79 °F,4 mph,Tue 5:43 pm
Karachi Pakistan,91 °F,13 mph,Tue 6:13 pm
Kathmandu Nepal,73 °F,6 mph,Tue 6:58 pm
Khartoum Sudan,100 °F,9 mph,Tue 3:13 pm
Kingston Jamaica,85 °F,18 mph,Tue 8:13 am
Kinshasa Congo Dem. Rep.,90 °F,7 mph,Tue 2:13 pm
Kiritimati Kiribati,82 °F,1 mph,Wed 3:13 am
Kolkata India,81 °F,5 mph,Tue 6:43 pm
Kuala Lumpur Malaysia,81 °F,3 mph,Tue 9:13 pm
Kuwait City Kuwait,113 °F,29 mph,Tue 4:13 pm
Kyiv Ukraine,57 °F,7 mph,Tue 4:13 pm
La Paz Bolivia,36 °F,9 mph,Tue 9:13 am
Lagos Nigeria,82 °F,12 mph,Tue 2:13 pm
Lahore Pakistan,95 °F,2 mph,Tue 6:13 pm
Las Vegas USA,69 °F,11 mph,Tue 6:13 am
Lima Peru,69 °F,11 mph,Tue 8:13 am
Lisbon Portugal,88 °F,7 mph,Tue 2:13 pm
London United Kingdom,77 °F,2 mph,Tue 2:13 pm
Los Angeles USA,67 °F,0 mph,Tue 6:13 am
Madrid Spain,86 °F,1 mph,Tue 3:13 pm
Managua Nicaragua,75 °F,0 mph,Tue 7:13 am
Manila Philippines,80 °F,4 mph,Tue 9:13 pm
Melbourne Australia,45 °F,10 mph,Tue 11:13 pm
Mexico City Mexico,59 °F,3 mph,Tue 7:13 am
Miami USA,81 °F,0 mph,Tue 9:13 am
Minneapolis USA,50 °F,16 mph,Tue 8:13 am
Minsk Belarus,50 °F,17 mph,Tue 4:13 pm
Montevideo Uruguay,48 °F,18 mph,Tue 10:13 am
Montréal Canada,46 °F,13 mph,Tue 9:13 am
Moscow Russia,59 °F,2 mph,Tue 4:13 pm
Mumbai India,86 °F,0 mph,Tue 6:43 pm
Nairobi Kenya,79 °F,15 mph,Tue 4:13 pm
Nassau Bahamas,79 °F,5 mph,Tue 9:13 am
New Delhi India,94 °F,?,Not available
New Orleans USA,80 °F,10 mph,Tue 8:13 am
New York USA,59 °F,8 mph,Tue 9:13 am
Oslo Norway,57 °F,9 mph,Tue 3:13 pm
Ottawa Canada,46 °F,12 mph,Tue 9:13 am
Paris France,72 °F,7 mph,Tue 3:13 pm
Perth Australia,59 °F,6 mph,Tue 9:13 pm
Philadelphia USA,60 °F,12 mph,Tue 9:13 am
Phoenix USA,83 °F,0 mph,Tue 6:13 am
Prague Czechia,57 °F,14 mph,Tue 3:13 pm
Reykjavik Iceland,48 °F,24 mph,Tue 1:13 pm
Rio de Janeiro Brazil,77 °F,7 mph,Tue 10:13 am
Riyadh Saudi Arabia,108 °F,7 mph,Tue 4:13 pm
Rome Italy,84 °F,6 mph,Tue 3:13 pm
Salt Lake City USA,60 °F,12 mph,Tue 7:13 am
San Francisco USA,57 °F,3 mph,Tue 6:13 am
San Juan Puerto Rico,85 °F,3 mph,Tue 9:13 am
San Salvador El Salvador,75 °F,2 mph,Tue 7:13 am
Santiago Chile,57 °F,3 mph,Tue 10:13 am
Santo Domingo Dominican Republic,81 °F,0 mph,Tue 9:13 am
São Paulo Brazil,64 °F,6 mph,Tue 10:13 am
Seattle USA,59 °F,0 mph,Tue 6:13 am
Seoul South Korea,72 °F,5 mph,Tue 10:13 pm
Shanghai China,79 °F,6 mph,Tue 9:13 pm
Singapore Singapore,75 °F,3 mph,Tue 9:13 pm
Sofia Bulgaria,63 °F,7 mph,Tue 4:13 pm
St. John's Canada,52 °F,6 mph,Tue 10:43 am
Stockholm Sweden,61 °F,7 mph,Tue 3:13 pm
Suva Fiji,72 °F,20 mph,Wed 1:13 am
Sydney Australia,61 °F,12 mph,Tue 11:13 pm
Taipei Taiwan,77 °F,9 mph,Tue 9:13 pm
Tallinn Estonia,57 °F,14 mph,Tue 4:13 pm
Tashkent Uzbekistan,88 °F,2 mph,Tue 6:13 pm
Tegucigalpa Honduras,70 °F,0 mph,Tue 7:13 am
Tehran Iran,93 °F,22 mph,Tue 4:43 pm
Tokyo Japan,75 °F,7 mph,Tue 10:13 pm
Toronto Canada,48 °F,10 mph,Tue 9:13 am
Vancouver Canada,57 °F,5 mph,Tue 6:13 am
Vienna Austria,63 °F,18 mph,Tue 3:13 pm
Warsaw Poland,61 °F,12 mph,Tue 3:13 pm
Washington DC USA,61 °F,15 mph,Tue 9:13 am
Winnipeg Canada,45 °F,1 mph,Tue 8:13 am
Yangon Myanmar,82 °F,3 mph,Tue 7:43 pm
Zagreb Croatia,66 °F,6 mph,Tue 3:13 pm
Zürich Switzerland,66 °F,7 mph,Tue 3:13 pm
